,TS5b,TS5c,TS5d,TS8b,TS9b,TS9d,TS6a,TS6b,TS6c,TS6d,TS6e,TS6f,TS7a,TS7c,TS7e,TS7f,TS7g,TS7h,TS8a,TS8d,TS8J,TS8K,TS8L
TRINITY_DN10081_c0_g2,0.092,0.756,0.499,0.353,1.562,1.295,0.482,0.59,0.525,0.133,1.56,1.237,0,0.51,0.931,0.158,0,0,1.696,0.072,0,0,0
TRINITY_DN1009_c0_g1,0.156,0.191,0.185,0.799,0.386,0.329,0.509,0.077,0,0.332,0.145,0.496,0.254,0.214,0,0.199,0.776,0.66,1.613,1.313,1.353,0.863,1.397
TRINITY_DN10090_c0_g1,0.44,1.443,0.169,0.836,1.386,0.704,0.912,0.556,0.315,0,1.025,1.136,0,0.099,1.184,0.282,0,0.117,2.316,0,0,0.139,0
TRINITY_DN10105_c0_g1,1.439,0.904,0.595,1.227,0.495,1.342,0.983,0.804,1.12,3.94,1.37,0.926,0.724,0.65,0.727,0.73,3.978,3.794,11.148,12.589,15.419,4.484,16.522
TRINITY_DN1011_c0_g1,0.926,0.504,0.426,1.45,0.487,0.873,0.798,0.735,0.691,3.688,1.116,0.816,0.416,0.847,0.564,0.664,2.534,1.826,5.977,5.701,4.09,1.727,6.94
TRINITY_DN10114_c0_g1,1.632,0.391,0.322,0.715,0.151,0.638,0.64,0.675,0,2.109,0.154,1.018,0,0.551,0.245,0.373,2.82,0.311,9.307,3.956,3.393,1.602,8.292
TRINITY_DN10114_c0_g2,0.247,0.304,0.378,0.167,0.151,0,0.79,0.18,0.84,0.65,0.635,0,0.647,0.831,0.188,0.489,0.954,2.991,0,2.014,0.808,0.655,2.126
TRINITY_DN10118_c0_g1,1.402,1.217,0.217,1.58,1.251,2.093,1.307,0.752,0.525,15.454,1.814,0.438,0.385,0.855,0.792,0.962,10.735,6.811,10.455,18.272,4.019,7.047,8.686
TRINITY_DN1012_c0_g1,0.348,0.365,0.314,0.093,0.244,0.422,0.526,0.248,0.604,0.942,0.463,0.32,0.039,0.806,0.229,0.083,1.403,0.842,1.944,3.543,2.474,1.657,6.56
TRINITY_DN10127_c0_g1,0.486,0.27,0.177,0.195,0.025,0.976,0.561,0.351,0.289,1.897,0.59,0.547,0.131,0.345,0.065,0.149,0.994,0.531,1.065,2.752,3.363,1.992,4.009
TRINITY_DN10127_c0_g2,0,0.078,0.072,0,0,0,0.114,0,0.131,0,0.154,0,0.169,0,0.163,0,0,0.376,0.103,0,0,0,0
TRINITY_DN10130_c0_g1,0.449,0.252,0.217,0.52,0.327,0.723,0.684,0.282,0.263,1.433,0.363,0.488,0.139,0.148,0.212,0.29,1.226,1.256,2.596,2.392,3.898,1.602,5.664
TRINITY_DN10132_c0_g1,0.623,0,2.06,0.446,2.956,0,0.316,0,0,0,0.653,1.363,0.347,1.719,1.707,1.551,0,0,3.878,0,0,0,0
TRINITY_DN10132_c0_g2,0.22,2.912,0,0.446,0,2.516,0.79,0.137,1.05,0.199,2.032,0,0,0,0,0,0,0,0,0,0,0,0.942
TRINITY_DN10135_c0_g1,0.293,0.122,0.282,0.362,0,0.469,0.623,1.231,0.543,1.897,0.826,0.539,0.662,0.304,0.131,0,2.929,0.855,2.12,0.36,2.343,0,2.308
TRINITY_DN10135_c0_g2,0.431,0.235,0,0.242,0.059,0,0.263,0,0,0,0.653,0,0,0.748,0.261,1.244,0.204,0,1.324,2.482,0,0.362,4.617
TRINITY_DN10138_c0_g1,0.761,0.27,0.177,0.325,0.294,0.526,0.368,0.556,0.394,1.207,0.68,0.337,0.216,0.189,0.155,0.249,1.185,0.881,2.544,2.698,2.888,1.017,4.191
TRINITY_DN10138_c0_g2,0.119,0.226,0.153,0.242,0,0.216,0.307,0,0,0.438,0,0.143,0,0.296,0,0.158,0.136,0.35,0.238,0,0,0.153,1.974
TRINITY_DN10142_c0_g2,0.073,0.061,0.064,0.288,0.126,0.329,0.632,0.231,0,0.57,0,0.286,0,0,0,0,0.64,0.337,0.434,0.126,1.868,0.097,2.809
TRINITY_DN1015_c0_g1,0.156,0.13,0.121,0.214,0.453,0.742,0.825,0.077,0.368,0.677,0.363,0.429,0.77,0.214,0.123,0,0.776,0.492,1.406,1.852,2.605,0.292,4.404
TRINITY_DN10156_c0_g1,0,0,0,0,0,0,8.457,0.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN10160_c0_g1,1.787,1.365,0.571,1.673,1.218,1.455,0.947,0.735,0.98,4.285,2.522,1.456,0.524,1.817,0.882,1.17,6.266,3.134,8.19,4.442,16.308,3.872,14.199
TRINITY_DN10164_c0_g1,0.697,3.251,0.37,6.523,0.302,7.763,0.939,2.377,2.468,1.472,0.136,3.198,0.239,2.952,2.515,2.414,6.553,6.513,34.912,27.713,24.639,8.857,0
TRINITY_DN10164_c0_g2,2.374,0,1.521,0,1.444,0,0.632,0,0,9.312,2.894,0,1.248,0,0,0,2.534,0,0.072,0.018,0,0,33.105
TRINITY_DN1018_c0_g1,0.431,0.252,0.241,0.4,0.311,0.789,0.754,0.308,0.578,1.526,0.454,0.909,0.054,0.617,0.662,0.265,1.948,0.919,1.986,1.996,2.07,1.142,3.508
TRINITY_DN10184_c0_g1,1.375,0.652,0.668,0.994,0.621,2.225,1.351,1.163,1.094,10.851,2.023,0.732,0.701,0.773,0.653,1.319,9.413,10.23,6.474,19.297,7.018,14.331,13.698
TRINITY_DN10192_c0_g1,0,0,0,0,0,0,3.597,0.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN10192_c0_g2,0,0,0,0,0,0,0.263,0,0,0,0,0,0,0,0,0,0,0,0.155,0,0.151,0,0.516
TRINITY_DN10193_c0_g2,0.871,0.574,0.249,0.567,0.428,0.995,0.597,0.539,0.324,1.671,0.481,0.648,0.508,0.666,0.604,0.274,2.098,1.075,3.837,2.967,3.605,0.696,4.495
TRINITY_DN10201_c0_g1,9.148,2.678,0.322,2.276,1.948,4.947,0.86,1.821,0.63,106.894,4.092,0.993,3.574,1.011,0.964,1.161,56.385,45.075,6.836,222.3,17.298,66.849,29.051
TRINITY_DN10202_c0_g1,0.128,1.426,1.118,1.161,0.63,0.413,1.14,0,0.718,0.69,0.889,0.353,0.732,0.576,1.478,0,0.204,2.007,0,0,0.848,0.306,0.289
TRINITY_DN10202_c0_g2,1.201,1.834,1.81,0.641,0.218,0,0.868,0,2.109,1.021,0.136,1.843,2.188,0.962,0.76,0.564,0.218,0.298,0.186,1.78,0.353,1.142,0.592
TRINITY_DN10203_c0_g1,2.97,2.199,4.136,4.479,0.789,4.478,0.842,0.855,2.267,10.666,1.279,0.564,1.102,5.551,0.841,0.655,5.245,12.34,23.123,27.372,26.436,10.682,85.694
TRINITY_DN10203_c0_g2,0,0,0,0,0,0,0.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN10204_c0_g1,12.723,6.651,4.723,8.223,5.416,14.747,5.22,5.763,6.442,47.08,6.677,6.067,4.075,8.059,5.259,6.189,36.604,33.097,52.834,56.47,45.48,32.24,98.101
TRINITY_DN10209_c0_g1,25.932,26.715,21.589,18.5,21.673,34.714,28.94,26.274,30.134,17.696,31.417,23.772,30.535,28.248,27.293,28.364,18.05,25.043,15.502,16.887,12.794,15.654,7.699
TRINITY_DN10210_c0_g1,0.394,0.078,0.386,1.013,0.084,0.835,9.194,0.59,0.184,28.216,0.998,0.547,0.246,0.09,0.604,0.249,0.981,1.683,2.606,2.338,54.791,1.81,9.977
TRINITY_DN10211_c0_g1,15.803,6.964,2.84,6.764,4.778,11.95,5.106,7.122,5.208,108.366,13.826,5.125,4.383,6.036,2.703,7.566,87.962,78.094,39.142,154.303,54.488,48.799,76.674
TRINITY_DN10211_c0_g2,0,0.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN10211_c0_g3,0.22,0.148,0,0.177,0,0.601,0.667,0.368,0.376,0.305,0.236,0,0,0,0,0,0.3,0.712,0.279,0.899,0,0.306,2.156
TRINITY_DN10213_c0_g1,1.109,2.06,1.062,2.825,2.25,1.605,0.798,0.761,1.409,0.146,3.13,1.43,0.632,1.184,1.862,1.161,0.136,0.233,3.868,0.234,0.162,0.028,0.182
TRINITY_DN10214_c0_g1,0.367,0.478,0.579,0.548,0.311,0.225,0.781,0.265,0.394,0.623,1.134,0.539,0.701,0.625,0.49,1.004,0.177,1.761,0.145,0,2.363,2.159,1.215
TRINITY_DN10227_c0_g1,0,0,0,0,0,0,0.474,0,0.21,0.584,0,0,0.185,0,0.515,0,0.736,1.437,0,0,0.646,0,1.989
TRINITY_DN10227_c0_g2,0,0.165,0.161,0,0,0.216,0.421,0,0,1.565,0.191,0.387,0,0.378,0,0,0,0,0.858,0.342,2.423,2.27,0
TRINITY_DN10228_c0_g1,0,0,0,0,0,0,0.693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN1023_c0_g1,5.097,4.59,1.191,3.354,2.889,7.632,0.579,4.378,3.133,8.795,9.054,2.987,2.265,2.311,1.707,2.398,16.579,9.155,21.231,23.613,16.56,15.152,30.25
TRINITY_DN10235_c0_g1,5.051,1.469,0.756,6.086,2.67,5.595,2.184,3.565,2.03,27.38,2.912,3.736,1.702,2.039,1.601,1.933,52.298,42.783,19.349,86.377,6.422,41.892,60.941
TRINITY_DN10244_c0_g1,3.162,1.217,0.636,1.217,0.882,1.202,1.123,1.984,1.575,4.086,2.25,1.885,0.616,1.011,0.858,1.07,5.081,5.257,4.612,5.287,10.219,4.916,16.295
TRINITY_DN10249_c0_g1,0.33,0.426,0.257,0.186,0.109,0.629,0.974,0.265,0.49,2.879,0.49,0.303,0.216,0.181,0.049,0.282,1.539,1.269,3.123,2.014,15.137,1.142,11.982
TRINITY_DN10255_c0_g1,0.88,0,0.539,0,0,0,0.5,0.085,0.49,0,0,0,0,0,0.065,0.075,0,0,0,0,0,0.209,0.197
TRINITY_DN10255_c0_g2,0,0,0,0,0,0,0.5,0.085,0,0.504,0.318,0.488,0,0.477,0.065,0.075,0,0.738,0.238,1.169,2.322,0.209,0.197
TRINITY_DN10260_c0_g2,0,0.07,0.129,0,0.202,0.084,0.667,0.727,0.228,0.239,0.154,0.454,0.069,0.148,0.31,0.282,0,0.35,0,0.558,0.111,0.808,0.182
TRINITY_DN10265_c0_g1,2.631,1.756,0.668,2.871,1.083,2.741,1.079,1.086,1.637,7.283,2.186,2.247,1.61,1.192,1.486,0.921,8.555,2.771,9.917,5.809,15.864,7.172,4.313
TRINITY_DN1027_c0_g1,2.787,1.408,1.094,1.199,1.394,4.497,0.597,2.796,1.26,12.324,4.518,0.976,1.856,2.031,1.201,1.775,18.881,7.536,9.007,40.14,13.571,7.674,12.498
TRINITY_DN1028_c0_g1,0,0,0.08,0,0,0,0.447,0,0,0,0,0,0.169,0,0,0,0,0,0,0,0,0,0
TRINITY_DN1028_c0_g2,1.219,1.078,1.078,2.286,0.386,2.075,0.298,0.359,0.718,3.356,0.145,0.749,0.169,0.6,0.662,0.265,6.484,1.916,6.432,2.176,2.343,3.022,11.071
TRINITY_DN10291_c0_g1,4.042,2.46,2.173,3.726,2.284,0,1.079,2.069,1.269,1.526,3.874,3.442,1.209,0.987,1.152,1.095,5.367,2.059,18.407,1.007,4.786,7.785,6.014
TRINITY_DN10298_c0_g1,0.623,0.383,0,0.297,0,0.657,1.158,1.719,0.149,0.451,0,0.295,0.385,0.14,0.237,0.133,0.259,0.168,0,0,0,0.195,0
TRINITY_DN103_c0_g1,1.338,0.982,0.692,1.607,0.773,2.29,0.912,0.923,1.173,5.757,1.506,0.808,0.347,1.053,0.678,0.68,7.602,5.115,5.646,9.657,6.564,6.49,11.238
TRINITY_DN1030_c0_g1,0,0,0,0,0,0,0.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN1030_c0_g2,0,0,0,0,0,0,0.289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN10304_c0_g1,1.567,0.739,0.386,1.05,0.453,1.23,0.395,0.333,0.42,4.046,1.089,0.412,0.208,0.855,0.376,0.581,2.043,1.152,5.905,4.64,4.807,2.493,10.615
TRINITY_DN10304_c0_g2,0.174,0.252,0.394,0,0.151,0.516,0.675,0.111,0.166,0.226,0,0.421,0.431,0,0.074,0,0.3,0.777,0.465,0.665,1.393,0.85,1.959
TRINITY_DN10305_c0_g1,1.412,0.8,0.515,0.92,0.546,2.713,0.939,0.821,0.613,11.475,2.504,0.303,1.063,0.97,1.192,1.236,9.018,6.449,4.116,15.718,6.604,9.916,19.499
TRINITY_DN10316_c0_g1,3.107,0.878,0.909,1.626,1.041,3.943,0.605,0.975,1.182,7.535,2.694,2.07,1.04,1.636,1.331,1.41,11.484,6.656,10.486,9.496,8.704,5.473,14.943
TRINITY_DN10316_c0_g2,0.266,0.148,0,0.632,0,0.789,0.746,0.47,0,0.491,0.163,2.036,0,0.296,0,0,2.139,0.466,1.768,1.475,1.535,0,2.308
TRINITY_DN10324_c0_g1,0.385,0.156,0.145,0.539,0,1.615,1.105,0.385,1.26,1.114,1.579,0.539,0,3.15,0.294,0,2.834,2.447,4.778,3.201,0.252,1.88,4.237
TRINITY_DN10347_c0_g1,0.312,0.174,0.048,0.269,0.118,0.15,0.5,0.154,0.07,0.716,0.345,0.219,0.062,0.617,0.147,0.083,0.586,0.479,1.406,1.241,1.01,0.557,2.931
TRINITY_DN10352_c0_g1,0.568,1.33,0.386,0.539,0.68,0.967,0.535,0,0.691,0,1.442,0.606,0.609,0.444,0.253,0.282,0,0,4.23,0,0,0,0
TRINITY_DN1036_c0_g1,1.934,0.991,0.467,1.431,0.336,2.431,0.684,0.778,3.65,0.531,1.152,0,0.385,2.673,0.653,0,2.466,0.919,2.027,1.439,0,2.047,0
TRINITY_DN1036_c0_g2,2.035,2.652,0.772,8.632,1.125,9.594,2.158,1.453,7.483,2.746,3.629,1.296,1.256,3.602,0.866,2.721,9.005,2.331,3.133,1.637,3.979,1.964,5.847
TRINITY_DN10362_c0_g2,1.274,2.678,1.859,1.245,0.378,2.591,0.763,0.675,0.849,3.807,2.078,1.675,0.686,1.25,1.527,1.294,3.705,2.253,16.412,4.388,9.775,2.061,20.304
TRINITY_DN10377_c0_g2,0,0,0,0.214,0,0.066,0.851,0,0,0.08,0.054,0,0,0,0.041,0,0.191,0.129,0.569,0.486,0.939,0,0.532
TRINITY_DN10379_c0_g1,0.962,0.374,0.145,0.762,0.453,1.277,0.518,0.18,0.201,1.645,1.669,0.555,0.501,0.329,0.376,0.315,2.234,1.722,5.533,3.741,3.565,0.975,3.629
TRINITY_DN10381_c0_g1,3.153,4.416,0.893,3.893,1.923,2.45,2.044,1.821,2.958,6.023,3.039,2.163,1.633,2.418,1.258,2.821,20.965,5.633,16.753,12.229,17.186,4.86,35.717
TRINITY_DN10386_c0_g1,0.247,4.668,1.118,3.196,1.402,2.028,3.395,0.966,2.048,3.86,6.396,4.325,3.366,3.75,2.385,0.821,0,1.541,0.331,3.633,1.919,2.354,1.063
TRINITY_DN10387_c0_g1,1.082,1.035,0.33,0.325,0.059,1.361,0.833,0.949,0.954,2.719,0.853,0.454,0.555,0.387,0.678,0.904,3.365,1.437,4.498,4.1,6.998,3.05,4.844
TRINITY_DN10389_c0_g1,6.178,6.355,6.614,6.588,8.649,5.952,1.123,3.249,5.304,15.68,4.228,9.576,5.2,5.921,4.557,6.404,4.496,3.639,3.32,4.874,1.818,13.384,0.38
TRINITY_DN1039_c0_g1,0.687,0.782,0.322,2.583,0.344,1.023,0.904,0,0.516,1.207,1.016,0.513,0.57,0.378,0,0.473,2.275,1.463,8.997,5.809,15.258,1.518,22.202
TRINITY_DN10390_c0_g1,0.935,0.435,0.161,0.604,0.789,1.84,0.368,0,0.84,2.812,0.88,0,0.2,0.263,1.225,0.282,0.994,1.619,2.43,2.482,4.756,1.922,4.161
TRINITY_DN10390_c0_g2,0,0,0.418,0.502,0.134,0.094,0.368,0.821,0,0,0,0.715,0,0,0,0,1.825,0.22,0.434,0.252,0.828,0,5.042
TRINITY_DN104_c0_g1,0.119,0,0.233,0,0,0,0.254,0,0,0,0,0,0,0,0,0,2.425,0.311,0,1.061,0,0,0
TRINITY_DN104_c0_g2,5.894,1.113,0.233,1.886,0.882,1.305,0.632,4.378,1.488,3.17,1.479,2.592,0.693,1.184,0.907,0.937,11.293,14.904,9.204,7.032,9.118,9.164,9.916
TRINITY_DN1040_c0_g1,1.824,0.252,0.716,3.587,3.25,4.309,0.702,0.368,0.744,2.494,0.68,1.069,1.163,1.883,0.188,0.315,4.073,2.667,3.754,2.5,1.232,0.975,3.189
TRINITY_DN10404_c0_g1,0.128,0.104,0,0.186,0.109,0.141,0.816,0.197,0.753,0.385,0,0,0.223,0.724,0.564,0.456,2.221,0.647,1.117,1.133,44.036,0.334,10.159
TRINITY_DN1041_c0_g1,9.066,1.061,0.925,2.016,1.78,2.91,1.369,6.43,4.254,5.213,3.075,2.541,0.786,1.299,1.094,1.833,11.239,12.845,6.298,13.074,19.125,10.403,26.515
TRINITY_DN10411_c0_g1,0.11,0.365,0,0.204,0,0,0.316,0,0.175,0.371,0,0.295,0,0.197,0.025,0,0.45,0,0.041,0.306,1.858,0,0.987
TRINITY_DN10411_c0_g3,0,0.096,0.097,0,0,0.207,0.281,0,0.604,0.239,0.118,0,0,0.115,0.131,0,0.994,0.751,0.414,0.575,0,0.39,1.139
TRINITY_DN10415_c0_g1,1.21,1.139,1.086,1.124,1.293,2.779,0.939,0.522,0.525,6.845,1.479,0.799,0.87,1.752,0.792,1.502,8.078,8.197,6.505,8.56,4.978,12.256,11.374
TRINITY_DN10425_c0_g1,0,0,0.08,0,0.176,0.563,0.605,1.052,0,1.234,0.49,0.295,0,0.288,0.163,0.183,1.58,0.337,3.382,1.601,2.686,1.17,2.627
TRINITY_DN10436_c0_g1,0,4.781,5.415,0,4.157,1.305,4.869,2.514,0,0,2.703,4.334,3.582,1.867,0.555,0,0,0.673,0,1.277,1.313,3.273,1.033
TRINITY_DN10436_c0_g2,12.907,6.772,14.476,11.066,7.977,11.762,7.615,11.423,10.004,7.853,10.859,3.442,13.396,6.99,13.81,10.461,4.346,3.147,3.785,3.453,3.464,2.493,0.987
TRINITY_DN10438_c0_g1,0,0,0,0,0,0,1.754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN10458_c0_g1,5.848,0.209,0.475,0.084,0.361,1.192,0.711,1.291,1.698,3.144,0.553,0.951,0.139,0.312,0.065,0.44,1.008,3.03,9.255,4.532,9.017,0.418,6.636
TRINITY_DN10459_c0_g1,3.172,5.068,2.615,5.445,2.603,9.209,4.772,3.411,4.113,14.552,7.149,2.718,3.297,5.6,4.377,3.277,18.404,7.989,35.264,26.688,21.872,9.651,62.247
TRINITY_DN1046_c0_g1,0.486,0.774,0.37,0.455,0,1.004,0.991,0.479,0,0.345,0,0.227,0.393,0,0,0,0.395,0.505,2.978,1.601,0.313,1.17,1.579
TRINITY_DN10489_c0_g1,0.825,0.339,0.217,0.065,0.344,0.441,0.728,0.479,0.901,1.804,0.699,0.884,0.285,0.872,0.319,0.946,2.057,1.243,4.323,4.802,1.757,1.616,7.183
TRINITY_DN10491_c0_g2,7.617,17.405,2.993,7.331,10.202,12.25,6.948,6.917,4.07,47.783,9.671,9.534,3.543,8.281,15.917,19.645,62.324,124.606,47.187,99.991,26.951,196.186,103.431
TRINITY_DN10499_c0_g1,1.558,0.861,0.418,1.236,0.966,1.633,0.588,1.3,0.858,2.998,1.996,1.658,0.963,0.962,0.817,1.178,5.708,1.916,6.256,7.841,10.148,2.966,10.919
TRINITY_DN1050_c0_g1,0.293,4.912,0,0,0,0,2.518,0,0,0,3.729,1.144,0,0,0,1.12,0,0,0.662,0,0,4.833,0
TRINITY_DN10507_c0_g1,0,0,0,0,0,0,0.868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN10507_c0_g2,0,0,0,0,0,0,0.246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN10511_c0_g1,3.126,0.409,0.603,1.756,0,3.783,0.254,0,1.024,3.807,2.141,2.76,0,1.414,0.947,1.062,6.662,4.144,7.342,12.301,11.895,0.724,3.948
TRINITY_DN10511_c0_g2,0,0.6,0,0,0.773,0,0.64,0,0,0.73,0,0,0.131,0,0,0,0,0,0,0,1.797,1.936,0.911
TRINITY_DN10513_c0_g1,0.312,0.504,0.056,0,0.193,1.145,0.474,0,0,0,0.236,0.194,0.139,0,0,0.116,0,0.026,0,0.216,0,0,0
TRINITY_DN10513_c0_g2,0.312,0.348,0.282,0,0.126,1.023,0.132,0,0,0,0.236,0.48,0.508,0,0,0.116,0,0.026,0,0.378,0,0,0
TRINITY_DN10514_c0_g1,1.274,0.626,0.089,0,0.185,0.113,0.684,1.291,0,1.605,0.608,0.555,0,1.003,0,0.896,0,0.932,0,0.36,0.586,0.808,0
TRINITY_DN10514_c0_g2,0.504,0.617,0.089,0.418,0,0.113,0.228,0.256,0.831,0,0,0.278,0.362,1.003,0.498,0.224,0,0,0.3,0,0,0,0
TRINITY_DN10517_c0_g1,1.842,1.069,0.555,1.069,0.319,1.436,0.605,0.573,1.12,6.447,1.315,0.547,0.478,0.765,0.335,0.589,2.834,3.626,6.691,5.737,7.482,5,9.142
TRINITY_DN10518_c0_g1,1.302,0.13,0.129,0,0.672,2.741,1.333,1.137,0.306,5.903,0.889,0.606,0.401,0.296,0.245,0,2.929,3.457,0.228,7.355,4.322,1.783,6.5
TRINITY_DN1052_c0_g1,1.54,1.374,0.74,1.366,0.84,1.183,1.342,1.206,1.663,6.726,1.76,1.271,0.57,0.97,0.645,1.095,3.487,3.354,11.562,10.125,20.872,4.554,23.508
TRINITY_DN10520_c1_g1,0,0,0,0,0,0,0.482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN10526_c0_g1,0,0.052,0.378,0,0.588,2.966,0.754,0.103,0.096,0.663,0.916,1.548,0,0.419,0.711,0.149,4.836,0.376,0,13.218,4.918,0,0
TRINITY_DN10526_c0_g2,0,0.113,0.451,0.13,1.344,1.202,0.588,0.325,0.709,1.141,0,1.523,0,0.058,0,0.373,0,0.181,0,23.325,3.676,0,0
TRINITY_DN10546_c0_g1,0.614,0.504,0.241,0.864,0.361,1.061,0.711,0.12,0,1.035,0.517,0,0.362,0.674,0.286,1.452,1.962,1.722,3.454,2.626,1.08,0.905,5.027
TRINITY_DN10546_c0_g2,0,0,0,0,0,0,0,0,0.315,0.438,0,0.311,0,0,0,0.473,0.559,0,0,0,0,0.529,1.564
TRINITY_DN10549_c0_g1,1.292,0.956,0.652,0.808,1.302,2.29,0.404,1,1.427,4.192,1.579,1.792,0.193,0.905,0.531,0.705,4.809,2.279,7.549,8.614,10.209,3.663,14.624
TRINITY_DN10549_c0_g2,0,0,0,0,0,0,0.667,0,0,0,0,0,0.778,0,0,0,0,0,0,0,0,0,0
TRINITY_DN10552_c0_g1,2.658,2.243,7.572,3.373,3.124,5.069,1.991,1.778,2.004,13.876,3.221,1.733,1.009,2.557,1.535,1.991,11.974,7.834,18.211,15.394,20.196,10.278,24.404
TRINITY_DN10554_c0_g2,0,0.104,0,0.121,0.109,0.141,0.64,0,0.368,0.186,0.236,0.606,0.532,0.238,0.498,0.44,0.218,0.686,0,0,0.697,0.961,0
TRINITY_DN10556_c0_g1,4.629,3.26,2.623,1.58,2.679,5.172,0.825,3.155,2.468,6.898,3.393,3.45,1.918,3.594,1.87,1.916,9.291,4.377,15.564,12.103,24.437,4.986,16.264
TRINITY_DN10556_c0_g2,0,0,0,0.112,0,0,0.289,0,0,0,0,0,0.116,0,0,0,0,0,0,0,0,0,0.471
TRINITY_DN10557_c0_g1,1.311,7.277,0.531,1.189,0.672,0.873,0.728,0.256,0.639,6.779,1.461,2.97,1.448,1.077,0.621,0.365,4.237,3.328,4.054,4.37,3.968,4.484,7.699
TRINITY_DN10560_c0_g1,1.54,0.739,0.628,0.65,0.865,1.849,0.728,0.71,0.989,5.678,1.406,0.715,0.439,0.773,0.58,0.597,2.643,2.732,6.329,8.291,8.724,4.791,12.331
TRINITY_DN1057_c0_g1,0.504,1.591,1.875,15.601,4.526,1.314,0.535,0.291,0.201,1.897,1.071,1.271,2.103,1.053,4.5,9.125,4.713,3.639,2.534,3.453,3.898,1.88,2.794
